,,,,convex likes men,,,,,,,,,,,,,,
,Qualifiers,,,,,,,,,,,,,,,,,
,Pick,Banner,,ARTIST - TITLE [DIFF],MAPPER,,MAP ID,SR,BPM,DRAIN,,CS,AR,OD,,,,
,NM1,,,,,,,,,,,,,,,,,
,NM2,,,,,,,,,,,,,,,,,
,NM3,,,,,,,,,,,,,,,,,
,NM4,,,,,,,,,,,,,,,,,
,NM5,,,,,,,,,,,,,,,,,
,HD1,,,,,,,,,,,,,,,,,
,HD2,,,,,,,,,,,,,,,,,
,HD3,,,,,,,,,,,,,,,,,
,HR1,,,,,,,,,,,,,,,,,
,HR2,,,,,,,,,,,,,,,,,
,HR3,,,,,,,,,,,,,,,,,
,DT1,,,,,,,,,,,,,,,,,
,DT2,,,,,,,,,,,,,,,,,
,DT3,,,,,,,,,,,,,,,,,
,FM1,,,,,,,,,,,,,,,,,
,FM2,,,,,,,,,,,,,,,,,
,TB,,,,,,,,,,,,,,,,,
,Finals,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Pick,Banner,,ARTIST - TITLE [DIFF],MAPPER,,MAP ID,SR,BPM,DRAIN,,CS,AR,OD,,,,
,NM1,,,,,,,,,,,,,,,,,
,NM2,,,,,,,,,,,,,,,,,
,NM3,,,,,,,,,,,,,,,,,
,NM4,,,,,,,,,,,,,,,,,
,NM5,,,,,,,,,,,,,,,,,
,HD1,,,,,,,,,,,,,,,,,
,HD2,,,,,,,,,,,,,,,,,
,HD3,,,,,,,,,,,,,,,,,
,HD4,,,,,,,,,,,,,,,,,
,HR1,,,,,,,,,,,,,,,,,
,HR2,,,,,,,,,,,,,,,,,
,HR3,,,,,,,,,,,,,,,,,
,HR4,,,,,,,,,,,,,,,,,
,DT1,,,,,,,,,,,,,,,,,
,DT2,,,,,,,,,,,,,,,,,
,DT3,,,,,,,,,,,,,,,,,
,DT4,,,,,,,,,,,,,,,,,
,FM1,,,,,,,,,,,,,,,,,
,FM2,,,,,,,,,,,,,,,,,
,FM3,,,,,,,,,,,,,,,,,
,TB,,,,,,,,,,,,,,,,,
,Grand Finals,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Pick,Banner,,ARTIST - TITLE [DIFF],MAPPER,,MAP ID,SR,BPM,DRAIN,,CS,AR,OD,,,,
,NM1,,,,,,,,,,,,,,,,,
,NM2,,,,,,,,,,,,,,,,,
,NM3,,,,,,,,,,,,,,,,,
,NM4,,,,,,,,,,,,,,,,,
,NM5,,,,,,,,,,,,,,,,,
,HD1,,,,,,,,,,,,,,,,,
,HD2,,,,,,,,,,,,,,,,,
,HD3,,,,,,,,,,,,,,,,,
,HD4,,,,,,,,,,,,,,,,,
,HR1,,,,,,,,,,,,,,,,,
,HR2,,,,,,,,,,,,,,,,,
,HR3,,,,,,,,,,,,,,,,,
,HR4,,,,,,,,,,,,,,,,,
,DT1,,,,,,,,,,,,,,,,,
,DT2,,,,,,,,,,,,,,,,,
,DT3,,,,,,,,,,,,,,,,,
,DT4,,,,,,,,,,,,,,,,,
,FM1,,,,,,,,,,,,,,,,,
,FM2,,,,,,,,,,,,,,,,,
,FM3,,,,,,,,,,,,,,,,,
,TB,,,,,,,,,,,,,,,,,
