Round of 16,,,,,,,,,Suggestions,,,,,,,,,,,,,,,F,DT,,,Filter,,,,,,,,,,,A,Round of 16,★6.20,,Mappool Assembly,,,,,,,,,,,
suggest_ids,suggest_mods,pooled_ids,pooled_mods,pooled_picks,pooled_nums,pooled_sugs,pooled_notes,,Map ID/URL,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Skillset/Notes,Mod,#,Map ID/URL,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID
181843,HR,,,,,,,,https://osu.ppy.sh/beatmapsets/60136#osu/181843,HR,kusiu,hr2,,Silent Spica - Anhedonia [Another],★6.08,180,02:10,882x,6.5,10,10,10,181843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772983,DT,,,,,,,,https://osu.ppy.sh/beatmapsets/350295#osu/772983,DT,kusiu,dt3,,yak_won - Sewing Machine [Insane],★6.37,225,01:23,936x,4.5,9.7,9.1,5,772983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806465,DT,,,,,,,,https://osu.ppy.sh/beatmapsets/366643#osu/806465,DT,kusiu,dt2 - the last resort,,ALiCE'S EMOTiON - Foughten Field [Lunatic],★6.35,255,02:36,1350x,4,10.1,9.8,6,806465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983491,HR,,,,,,,,https://osu.ppy.sh/beatmapsets/1926702#osu/3983491,HR,kusiu,,,Fellowship - Scars and Shrapnel Wounds [iamtickrate's Extra],★6.28,200,03:48,1837x,4.9,10,10,7,3983491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737389,HR,,,,,,,,https://osu.ppy.sh/beatmapsets/827743#osu/1737389,HR,kusiu,,,ABSOLUTE CASTAWAY - Shinsou Shintouron [Extra],★6.25,205,03:55,1572x,5.2,10,10,7,1737389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780547,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/1049065#osu/2780547,NM,suki,nm1,,nowisee - Koinu [waji's Affection],★6.25,176,04:17,1496x,4.3,9.2,8.3,8.1,2780547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889075,DT,,,,,,,,https://osu.ppy.sh/beatmapsets/1400312#osu/2889075,DT,suki,dt1,,MIMI - Shijima ni Saku (Cut Ver.) [Insane],★6.17,264,00:45,297x,4,10,9.8,6,2889075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727565,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/1316289#osu/2727565,HD,suki,hd1,,Tove Styrke - Sway [Are We Gonna Stay Up?],★5.83,120,03:15,1185x,4.5,9.5,8,5,2727565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991014,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/452230#osu/991014,NM,suki,nm1,,BABYMETAL - Gimme chocolate!! [EXPERT!!],★6.24,220,03:07,1359x,4,9.3,9,6.3,991014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716156,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/1811658#osu/3716156,NM,suki,nm5,,Zekk - Feelsleft0ut [J1's Alone],★6.32,170,01:32,861x,4,9.6,9,5.5,3716156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
