Round of 16,,,,,,,,,Suggestions,,,,,,,,,,,,,,,F,DT,,,Filter,,,,,,,,,,,A,Round of 16,★6.20,,Mappool Assembly,,,,,,,,,,,
suggest_ids,suggest_mods,pooled_ids,pooled_mods,pooled_picks,pooled_nums,pooled_sugs,pooled_notes,,Map ID/URL,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Mod,Suggester,Skillset/Comments,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID,,Skillset/Notes,Mod,#,Map ID/URL,Banner,Map + URL,SR,BPM,Drain,Combo,CS,AR,OD,HP,Map ID
2378549,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/1138639#osu/2378549,NM,suki,nm1,,Kakka - Ningyou wa Tasogare ni Yume o Miru ka [Twilight Doll],★6.27,183,04:32,1710x,4.2,9.4,8,5,2378549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849487,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/874575#osu/1849487,NM,suki,,,Mirai Akari - Akari ga Yattekita zo [Hai!],★6.21,136,04:50,2142x,4,9.4,8,5,1849487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888015,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/409025#osu/888015,NM,suki,nm1,,Sleeping With Sirens - If You Can't Hang [Fort's Extreme],★6.27,192,03:14,1228x,4,9.3,9,6,888015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140171,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/1023081#osu/2140171,HD,suki,,,Suda Keina - veil [impasse],★6.10,150,03:22,1333x,4.2,9.4,8.7,5,2140171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102460,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/1515350#osu/3102460,HD,suki deez nuts,hd1,,syudou - Gambling (TV Size) [Extreme],★6.07,196,01:28,647x,3.6,9.4,9.4,5.6,3102460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655682,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/291155#osu/655682,NM,suki deez nuts,nm5,,t+pazolite - Call me it. (500 Tortures) [Extra],★6.68,250,03:44,1752x,4,9.6,8.5,5,655682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3155281,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/1543635#osu/3155281,HD,reclusive,hd1 WE CAN USE THAT LATER,,Shiggy Jr. - oyasumi [goodnight],★6.12,200,02:09,778x,4.2,9,8.7,5,3155281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338682,NM,,,,,,,,https://osu.ppy.sh/beatmapsets/134151#osu/338682,NM,suki,nm1,,Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [CRN's Extra],★6.27,175,03:17,1234x,4,9,8,8,338682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342076,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/124997#osu/342076,HD,suki,hd1,,Hatsune Miku - Kouon Chu Oniki Test [keeeeeExtra],★6.48,180,01:27,504x,4,9,7,5,342076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2843299,NM,,,,,,,,2843299,NM,,nm1,,Kaf - Montage [Neon's Extra],★6.21,136,03:40,1646x,4,9.5,8.5,4,2843299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740274,HD,,,,,,,,2740274,HD,,hd1,,Kairiki bear feat. GUMI - Manemane Psychotropic [Extra],★6.32,210,03:06,1267x,4,9.2,8.8,5,2740274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449357,FM,,,,,,,,https://osu.ppy.sh/beatmapsets/1686490#osu/3449357,FM,Convex,fm1,,Morimori Atsushi - Txxs or get the fxxk out!! [Down's Extra],★5.79,220,02:25,1100x,4,9.3,8,5,3449357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768260,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/360325#osu/1768260,HD,Convex,hd3,,Rise Against - Disparity By Design [Extra],★5.85,156,02:04,1007x,3.5,9.2,8,6,1768260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3817522,HD,,,,,,,,https://osu.ppy.sh/beatmapsets/1857465#osu/3817522,HD,reclusive,hd2,,Conagusuri - Hina Choco Dark Matter [texeira e uma merda e ta ban LMAOOOO],★5.65,180,02:20,880x,3.8,8,8,6,3817522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2830129,HR,,,,,,,,https://osu.ppy.sh/beatmapsets/1348425#osu/2830129,HR,reclusive,hr3,,C-Show - On the FM [Unlimit's Extra],★5.97,200,01:38,743x,5.2,10,10,8,2830129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107389,DT,,,,,,,,https://osu.ppy.sh/beatmapsets/1517942#osu/3107389,DT,kusiu,dt2,,Wisp X - Final Moments [Ascension to Heaven],★6.30,248,01:42,869x,4,9.7,10,5,3107389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499884,0,,,,,,,,https://osu.ppy.sh/beatmapsets/1307989#osu/3499884,,,,,Grand Thaw - Aventyr [Rua (For tournament)],★5.73,132,02:21,947x,4.5,9.3,8,7,3499884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
